Date,Retailer,EAN,Category,Manufacturer,Brand,Product Title,Image,On Promotion,Promotion Description,Base Price,Shelf Price,Promoted Price
2022-02-01,Sainsburys,277907,Green Tea,Sainsbury's Supermarkets Ltd,Sainsbury's,Sainsbury's Green Tea x20 Tea Bags 38g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0000000277907,False,,0.75,0.75,0.75
2022-02-01,Sainsburys,70177225865,Fruit & Herbal Tea,R Twinings & Co Ltd,Twinings,Twinings Digest Superblends Tea Bags 35g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177225865,True,Half Price:  Was £2.70 Now £1.35,2.7,1.35,1.35
2022-02-01,Sainsburys,7613036069724,Instant Coffee,Nestlé,NESCAFÉ,Nescafe Alta Rica 100g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/380350011,False,,4.5,4.5,4.5
2022-02-01,Sainsburys,8712100712029,Black Tea,Unilever,PG Tips,PG Tips 40s Pyramid Teabags 116g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/8712100712029,False,,1.35,1.35,1.35
2022-02-01,Sainsburys,5010357112092,Black Tea,Taylors of Harrogate,Yorkshire Tea,Yorkshire Tea 240 Tea Bags 750g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5010357112092,False,,5.75,5.75,5.75
2022-02-01,Sainsburys,6712670000832,Fruit & Herbal Tea,Dalgety,Dalgety,Dalgety Honey & Ginger Tea 72g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/6712670000832,False,,1.8,1.8,1.8
2022-02-01,Sainsburys,5900839856050,Ground Coffee,Surya Foods,Tchibo,Tchibo Family Ground Coffee 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5900839856050,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,8711000380741,Instant Coffee,Jacobs Douwe Egberts,L'OR,L'OR Intense Instant Coffee 165g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/380338011,False,,6.5,6.5,6.5
2022-02-01,Sainsburys,70177188450,Green Tea,R Twinings & Co Ltd,Twinings,Twinings Decaffinated Pure Green Tea 20s 35g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177188450,False,,2.0,2.0,2.0
2022-02-01,Sainsburys,70177010539,English Breakfast Tea,R Twinings & Co Ltd,Twinings,Twinings English Breakfast Leaf Tea 125g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177010539,False,,2.5,2.5,2.5
2022-02-01,Sainsburys,70177177775,English Breakfast Tea,R Twinings & Co Ltd,Twinings,"Twinings English Breakfast Tea, 160 Tea Bags",https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177177775,False,,6.4,6.4,6.4
2022-02-01,Sainsburys,70177136994,English Breakfast Tea,R Twinings & Co Ltd,Twinings,Twinings Strong English Breakfast 80 Tea Bags 250g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/0070177136994,True,Only £3.00: Save £2.30,5.3,3.0,3.0
2022-02-01,Sainsburys,5060136753534,Fruit & Herbal Tea,Teapigs,Teapigs,Teapigs Snooze Sleepy Tea 45g,https://s3.eu-central-1.amazonaws.com/bn.production.core-images/5060136753534,False,,4.0,4.0,4.0
